品目コード,品名,MKライン,MK流量(㎏/h),FKライン,FK流量(㎏/h),KOライン,KO流量(㎏/h),"KOスライス
ノズルサイズ","KOS使用
段ボール",一般マーガリン製品,プレミアムスター製品,MK特殊品,ファットスプレッド製品,KOスライス製品,エレバール,エレバールFB　Ⅱ,FHシリーズ,ランディ,アロマゴールド,アロマーデソフト,ジェネルー,バター,バレット,リス,ＳＯＺＡ　Ｙ,ネオシュー,ｿｼｴﾙｼﾘｰｽﾞ,アレルゲン,(一般マーガリンのみ)区分,色,香料,乳化剤,塩,窒素ガス,荷姿,バッチ制限,1品種Nバッチ,特記事項
25566021850,EZﾏｰｶﾞﾘﾝ-R(M),○,3200,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-5,○,○,×,無し,○,段,×,×,
25566021870,EZﾏｰｶﾞﾘﾝ-R(H),○,3200,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-5,○,○,×,無し,○,段,×,×,
25566821830,ｱﾛﾏｰﾃﾞｿﾌﾄ-RN(S),○,4000,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,B,最終,×,×,×,普通,×,段,×,×,MK or FK最終限定、前ﾊﾞｯﾁに規制はない
25566821850,ｱﾛﾏｰﾃﾞｿﾌﾄ-RN(M),○,4000,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,B,最終,×,×,×,普通,×,段,×,×,MK or FK最終限定、前ﾊﾞｯﾁに規制はない
25566821870,ｱﾛﾏｰﾃﾞｿﾌﾄ-RN(H),○,4000,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,B,最終,×,×,×,普通,×,段,×,×,MK or FK最終限定、前ﾊﾞｯﾁに規制はない
25567021830,ﾈｵｸﾘｰﾐｰﾎｲｯﾌﾟ-LN(R）S,○,3200,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-4,○,○,○,高,○,段,×,×,
25567021850,ﾈｵｸﾘｰﾐｰﾎｲｯﾌﾟ-LN(R）M,○,3200,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-4,○,○,○,高,○,段,×,×,
25567021870,ﾈｵｸﾘｰﾐｰﾎｲｯﾌﾟ-LN(R）H,○,3200,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-4,○,○,○,高,○,段,×,×,
25567121830,ﾛﾜｰﾙCP-Y(S),○,4000,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-3,○,○,○,普通,×,段,×,×,
25567121850,ﾛﾜｰﾙCP-Y(M),○,4000,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-3,○,○,○,普通,×,段,×,×,
25567121870,ﾛﾜｰﾙCP-Y(H),○,4000,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-3,○,○,○,普通,×,段,×,×,
25800221830,MB-ｿｼｴﾙ10K(S),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,○,B,初回,×,×,×,無し,×,段,×,×,ＭＫ　ｏｒ　ＦＫ限定
25800221850,MB-ｿｼｴﾙ10K(M),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,○,B,初回,×,×,×,無し,×,段,×,×,ＭＫ　ｏｒ　ＦＫ限定
25800521830,MB-ｵﾘﾝﾋﾟｱCRｼ-ﾄ-SP(S),×,-,×,-,限定,1800,285,12S,×,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,低,×,段,×,×,
25803401830,MB-ｵﾘﾝﾋﾟｱｼｰﾄL(CNT)(S),×,-,×,-,限定,2000,285,ﾚﾝﾀﾙCNT,×,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,高,×,コンテナ,×,×,要員が必要な為、時間指定あり(7:20～23:00間で計画)
25803401850,MB-ｵﾘﾝﾋﾟｱｼｰﾄL(CNT)(M),×,-,×,-,限定,2000,285,ﾚﾝﾀﾙCNT,×,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,高,×,コンテナ,×,×,要員が必要な為、時間指定あり(7:20～23:00間で計画)
25803621830,MB-ｱﾛﾏｺﾞｰﾙﾄﾞCS(S),○,4000,○,4000,×,-,×,-,○,×,×,×,×,×,×,×,×,○,×,×,○,×,×,×,×,×,B,最終,○,○,○,無し,×,段,×,×,MK or FK最終限定、前ﾊﾞｯﾁは塩無しを組む　土曜日生産NG
25803621850,MB-ｱﾛﾏｺﾞｰﾙﾄﾞCS(M),○,4000,○,4000,×,-,×,-,○,×,×,×,×,×,×,×,×,○,×,×,○,×,×,×,×,×,B,最終,○,○,○,無し,×,段,×,×,MK or FK最終限定、前ﾊﾞｯﾁは塩無しを組む　土曜日生産NG
25804521000,ﾃﾞﾘﾌﾟﾘﾗﾝﾂﾏｰｶﾞﾘﾝ,○,4000,○,3700,○,4000,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,A-1-1-1,×,×,○,低,×,段,×,×,
25804621000,ｵﾘﾝﾋﾟｱMM2204(1.2K),×,-,×,-,○,1700,285,12S,×,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,×,○,×,普通,×,段,×,×,
25805521000,ﾃﾞﾘﾌﾟﾗﾝﾂｺｸﾌﾟﾗｽ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25805621000,ｸﾚﾏﾁｽCP-R,○,4000,○,3800,○,4000,×,-,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,B,B-3-1,○,○,○,無し,○,段,×,×,
25805821850,MB-ｿｼｴﾙCS(M),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,○,B,初回,×,×,×,無し,×,段,×,×,ＭＫ　ｏｒ　ＦＫ限定
25911711000,ﾄﾙﾃ,限定,3600,×,-,×,-,×,-,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,初回,○,○,○,無し,×,缶,×,×,
26513500020,ﾚｽﾄﾗﾝ (T) ｶﾝ-2,○,3200,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,A-3-1,○,○,○,高,×,缶,×,×,荷姿；缶で一般マーガリン
26513500030,ﾚｽﾄﾗﾝ (T) ｶﾝ-3,○,3200,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,A-3-1,○,○,○,高,×,缶,×,×,荷姿；缶で一般マーガリン
26513500040,ﾚｽﾄﾗﾝ (T) ｶﾝ-4,○,3200,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,A-3-1,○,○,○,高,×,缶,×,×,荷姿；缶で一般マーガリン
26513500050,ﾚｽﾄﾗﾝ (T) ｶﾝ-5,○,3200,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,A-3-1,○,○,○,高,×,缶,×,×,荷姿；缶で一般マーガリン
26513500060,ﾚｽﾄﾗﾝ (T) ｶﾝ-6,○,3200,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,A-3-1,○,○,○,高,×,缶,×,×,荷姿；缶で一般マーガリン
26514121000,ｼｴﾌﾏ-ｶﾞﾘﾝ LS-N,○,4000,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,A-1-1-1,×,×,○,低,×,段,×,×,
348885ZQ,ｵﾘﾝﾋﾟｱｽﾄﾛｰ V-EFｹﾞﾝﾀﾝ,×,-,×,-,限定,2250,285,1S,×,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,普通,×,段,×,×,
348889ZQ,ｵﾘﾝﾋﾟｱｸﾘｽﾋﾟｰ ｽﾄﾛｰｹﾞﾝ,×,-,×,-,限定,2100,285,1S,×,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,普通,×,段,×,×,
358034M5,MB-ｵﾘﾝﾋﾟｱｼｰﾄL(CNT)(S),×,-,×,-,限定,1700,285,ﾚﾝﾀﾙCNT,×,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,高,×,コンテナ,×,×,要員が必要な為、時間指定あり(7:20～23:00間で計画)
358034N5,MB-ｵﾘﾝﾋﾟｱｼｰﾄL(CNT)(M),×,-,×,-,限定,1700,285,ﾚﾝﾀﾙCNT,×,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,高,×,コンテナ,×,×,要員が必要な為、時間指定あり(7:20～23:00間で計画)
352933CP,ﾆﾕ-YCS ｽﾄﾚﾂﾁ720K(3),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-2,○,○,,低,○,段,×,×,ストレッチ製品の為、納期の1週間前で生産を計画
352933CQ,ﾆﾕ-YCS ｽﾄﾚﾂﾁ750K(3),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-2,○,○,○,低,○,段,×,×,ストレッチ製品の為、納期の1週間前で生産を計画
352933DP,ﾆﾕ-YCS ｽﾄﾚﾂﾁ720K(4),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-2,○,○,○,低,○,段,×,×,ストレッチ製品の為、納期の1週間前で生産を計画
352933DQ,ﾆﾕ-YCS ｽﾄﾚﾂﾁ750K(4),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-2,○,○,○,低,○,段,×,×,ストレッチ製品の為、納期の1週間前で生産を計画
